observation_date,NA000334Q
1947-01-01,58497
1947-04-01,60672
1947-07-01,62196
1947-10-01,68250
1948-01-01,64258
1948-04-01,66539
1948-07-01,69378
1948-10-01,74295
1949-01-01,66185
1949-04-01,66340
1949-07-01,68625
1949-10-01,71322
1950-01-01,68032
1950-04-01,70872
1950-07-01,77178
1950-10-01,83746
1951-01-01,81603
1951-04-01,84645
1951-07-01,87586
1951-10-01,93076
1952-01-01,87610
1952-04-01,88913
1952-07-01,91270
1952-10-01,99548
1953-01-01,94008
1953-04-01,97392
1953-07-01,96695
1953-10-01,101121
1954-01-01,93581
1954-04-01,96090
1954-07-01,96905
1954-10-01,103980
1955-01-01,99833
1955-04-01,104406
1955-07-01,107058
1955-10-01,114181
1956-01-01,106892
1956-04-01,110356
1956-07-01,111816
1956-10-01,120287
1957-01-01,113459
1957-04-01,117125
1957-07-01,119108
1957-10-01,124349
1958-01-01,113202
1958-04-01,117802
1958-07-01,120079
1958-10-01,130149
1959-01-01,123707
1959-04-01,131641
1959-07-01,130194
1959-10-01,136112
1960-01-01,131022
1960-04-01,136488
1960-07-01,135021
1960-10-01,139850
1961-01-01,132138
1961-04-01,140168
1961-07-01,140509
1961-10-01,149394
1962-01-01,144274
1962-04-01,150952
1962-07-01,150614
1962-10-01,158078
1963-01-01,150949
1963-04-01,158886
1963-07-01,159597
1963-10-01,168017
1964-01-01,162413
1964-04-01,170097
1964-07-01,171593
1964-10-01,180356
1965-01-01,173462
1965-04-01,183818
1965-07-01,185525
1965-10-01,199483
1966-01-01,191022
1966-04-01,201635
1966-07-01,203439
1966-10-01,217316
1967-01-01,204098
1967-04-01,213246
1967-07-01,214456
1967-10-01,228140
1968-01-01,218405
1968-04-01,234781
1968-07-01,235737
1968-10-01,251704
1969-01-01,238912
1969-04-01,254764
1969-07-01,255302
1969-10-01,268638
1970-01-01,253998
1970-04-01,268532
1970-07-01,268019
1970-10-01,282764
1971-01-01,273782
1971-04-01,291216
1971-07-01,291043
1971-10-01,308808
1972-01-01,299204
1972-04-01,318894
1972-07-01,319052
1972-10-01,341962
1973-01-01,333807
1973-04-01,354356
1973-07-01,354349
1973-10-01,382865
1974-01-01,361840
1974-04-01,384120
